,area_type,location,total_sqft,bathroom,balcony,price,BHK
1666,Super built-up  Area,Yelahanka,900.0,1.0,1,38.4,1.0
1667,Built-up  Area,Bannerghatta Road,1181.0,2.0,0,55.0,2.0
1668,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1,45.0,3.0
1669,Plot  Area,2nd Stage Nagarbhavi,1200.0,4.0,2,220.0,4.0
1674,Super built-up  Area,Whitefield,1626.0,3.0,3,89.0,3.0
1676,Super built-up  Area,Whitefield,1585.0,3.0,2,88.0,3.0
1677,Super built-up  Area,7th Phase JP Nagar,1370.0,2.0,1,56.17,2.0
1678,Plot  Area,Whitefield,2408.5,5.0,3,220.0,5.0
1679,Super built-up  Area,Kanakpura Road,1495.0,2.0,2,90.0,2.0
1680,Super built-up  Area,Other,2000.0,3.0,2,210.0,3.0
1681,Plot  Area,Other,2400.0,4.0,1,220.0,5.0
1683,Super built-up  Area,Old Madras Road,2408.5,2.0,0,220.0,4.0
1687,Plot  Area,Hebbal Kempapura,1200.0,4.0,2,215.0,4.0
1689,Super built-up  Area,Hebbal,1080.0,2.0,1,54.0,2.0
1690,Super built-up  Area,Kaikondrahalli,1645.0,3.0,2,100.0,3.0
1691,Super built-up  Area,Other,1760.0,3.0,3,176.0,3.0
1692,Built-up  Area,Other,900.0,1.0,1,42.0,1.0
1693,Plot  Area,Other,1200.0,3.0,1,125.0,3.0
1694,Super built-up  Area,JP Nagar,2408.5,4.0,0,220.0,4.0
1697,Plot  Area,Ramagondanahalli,900.0,1.0,0,38.0,1.0
1702,Built-up  Area,Ulsoor,1275.0,2.0,1,120.0,2.0
1703,Super built-up  Area,Kathriguppe,1245.0,2.0,2,68.48,3.0
1704,Built-up  Area,Other,1170.0,2.0,2,86.0,2.0
1705,Super built-up  Area,Panathur,1193.0,2.0,1,86.0,2.0
1708,Built-up  Area,Gunjur,1600.0,3.0,3,75.0,3.0
1709,Super built-up  Area,Electronics City Phase 1,1750.0,3.0,2,84.0,3.0
1711,Plot  Area,Other,2200.0,4.0,3,220.0,4.0
1713,Built-up  Area,HBR Layout,2408.5,2.0,0,200.0,3.0
1714,Plot  Area,R.T. Nagar,1200.0,2.0,1,120.0,2.0
1716,Built-up  Area,Other,2408.5,5.0,2,220.0,4.0
1719,Super built-up  Area,Ardendale,2408.5,4.0,2,160.0,4.0
1720,Built-up  Area,Kasavanhalli,1100.0,2.0,1,50.0,2.0
1721,Built-up  Area,Uttarahalli,900.0,2.0,1,38.0,2.0
1722,Super built-up  Area,Bisuvanahalli,900.0,2.0,1,38.0,2.0
1723,Super built-up  Area,Kambipura,900.0,2.0,1,39.0,2.0
1726,Built-up  Area,Whitefield,1280.0,2.0,0,85.0,2.0
1727,Built-up  Area,Other,1700.0,2.0,1,220.0,4.0
1729,Super built-up  Area,Choodasandra,1300.0,2.0,3,57.0,2.0
1730,Super built-up  Area,Other,1450.0,1.0,0,220.0,2.0
1731,Super built-up  Area,Harlur,1757.0,3.0,2,132.0,3.0
1732,Super built-up  Area,Anekal,900.0,1.0,1,38.0,1.0
1734,Super built-up  Area,Sarjapur,1240.0,2.0,1,44.0,2.0
1735,Plot  Area,Other,900.0,2.0,1,90.0,3.0
1736,Super built-up  Area,EPIP Zone,1330.0,2.0,1,93.36,2.0
1737,Super built-up  Area,8th Phase JP Nagar,1062.0,2.0,1,42.47,2.0
1738,Built-up  Area,JP Nagar,1078.0,2.0,2,45.0,2.0
1740,Plot  Area,Whitefield,1200.0,3.0,2,68.5,3.0
1741,Super built-up  Area,Other,1200.0,1.0,1,48.0,1.0
1742,Super built-up  Area,Kammasandra,912.0,2.0,1,39.0,3.0
1743,Super built-up  Area,Hosa Road,1534.4836,3.0,1,115.0,3.0
1744,Plot  Area,Other,2400.0,5.0,1,220.0,5.0
1745,Plot  Area,Other,2028.0,4.0,3,162.0,4.0
1746,Super built-up  Area,Mysore Road,980.0,2.0,1,45.47,2.0
1748,Super built-up  Area,Sarjapur  Road,1050.0,2.0,1,62.0,2.0
1749,Built-up  Area,Bannerghatta,2408.5,3.0,1,220.0,3.0
1750,Super built-up  Area,Domlur,1875.0,2.0,2,150.0,3.0
1751,Super built-up  Area,Hennur Road,1065.0,2.0,1,42.6,2.0
1752,Built-up  Area,Sanjay nagar,1800.0,3.0,2,180.0,3.0
1753,Super built-up  Area,Other,1163.0,2.0,2,98.86,2.0
1754,Super built-up  Area,Tumkur Road,1098.0,2.0,1,72.0,2.0
1755,Built-up  Area,5th Phase JP Nagar,1725.0,2.0,2,100.0,3.0
1756,Plot  Area,Whitefield,2408.5,4.0,2,220.0,4.0
1757,Super built-up  Area,Thubarahalli,1128.0,2.0,2,75.0,2.0
1758,Plot  Area,Other,1320.0,2.0,2,200.0,3.0
1760,Super built-up  Area,Thigalarapalya,1418.0,2.0,2,95.0,2.0
1761,Built-up  Area,Ramamurthy Nagar,1500.0,3.0,1,160.0,3.0
1762,Built-up  Area,Hebbal,1100.0,2.0,2,50.0,2.0
1764,Super built-up  Area,Hebbal,900.0,2.0,2,55.0,2.0
1767,Super built-up  Area,Whitefield,1420.0,2.0,2,136.0,2.0
1768,Plot  Area,Other,1200.0,2.0,0,170.0,3.0
1770,Plot  Area,Banashankari Stage II,1200.0,2.0,1,150.0,4.0
1771,Super built-up  Area,Old Airport Road,2408.5,4.0,1,207.0,4.0
1774,Super built-up  Area,Indira Nagar,2408.5,3.0,1,220.0,3.0
1776,Carpet  Area,Other,1650.0,3.0,3,175.0,3.0
1778,Built-up  Area,Jigani,914.0,2.0,2,47.0,2.0
1779,Super built-up  Area,Hennur Road,1482.0,2.0,2,83.73,3.0
1780,Super built-up  Area,Kundalahalli,1724.0,3.0,2,127.0,3.0
1781,Super built-up  Area,Other,1670.0,3.0,3,91.86,3.0
1782,Super built-up  Area,Banaswadi,1184.0,2.0,3,53.0,2.0
1784,Plot  Area,TC Palaya,1200.0,2.0,0,65.0,2.0
1785,Super built-up  Area,Jigani,927.0,2.0,2,55.0,2.0
1788,Built-up  Area,Electronic City,1360.0,2.0,1,75.0,3.0
1789,Plot  Area,Brookefield,2408.5,4.0,2,220.0,4.0
1790,Super built-up  Area,7th Phase JP Nagar,1180.0,2.0,2,72.0,2.0
1791,Super built-up  Area,Whitefield,1697.0,3.0,2,108.0,3.0
1792,Super built-up  Area,Yelahanka New Town,900.0,2.0,1,38.0,2.0
1793,Super built-up  Area,Hennur,1225.0,2.0,1,57.0,2.0
1795,Plot  Area,Other,1660.0,2.0,1,220.0,3.0
1797,Built-up  Area,Other,1250.0,2.0,1,80.0,3.0
1798,Super built-up  Area,JP Nagar,1050.0,1.0,1,44.0,1.0
1799,Super built-up  Area,HSR Layout,1027.0,2.0,2,44.0,2.0
1803,Super built-up  Area,Horamavu Agara,950.0,2.0,3,39.0,2.0
1804,Plot  Area,TC Palaya,1200.0,2.0,0,70.0,2.0
1805,Super built-up  Area,Akshaya Nagar,1476.0,3.0,1,120.0,3.0
1806,Built-up  Area,CV Raman Nagar,1070.0,2.0,1,55.0,2.0
1807,Super built-up  Area,EPIP Zone,2160.0,4.0,2,172.0,3.0
1808,Super built-up  Area,Sector 2 HSR Layout,1296.0,2.0,1,75.0,2.0
1809,Built-up  Area,Chikkalasandra,1800.0,1.0,1,128.0,2.0
1811,Super built-up  Area,Koramangala,1300.0,2.0,3,110.0,2.0
1813,Super built-up  Area,Electronic City,900.0,1.0,1,40.0,2.0
1815,Plot  Area,Other,1650.0,4.0,1,160.0,3.0
1816,Super built-up  Area,Domlur,1429.0,3.0,3,86.0,3.0
1818,Super built-up  Area,Bommasandra,1035.0,2.0,1,41.73,2.0
1822,Super built-up  Area,Nagarbhavi,900.0,2.0,2,38.0,1.0
1823,Super built-up  Area,Haralur Road,1194.0,2.0,2,46.0,2.0
1824,Super built-up  Area,Hoodi,1026.0,2.0,1,60.87,2.0
1826,Super built-up  Area,Kaikondrahalli,1115.0,2.0,2,50.0,2.0
1827,Plot  Area,Hebbal Kempapura,1200.0,2.0,1,125.0,2.0
1828,Super built-up  Area,Old Airport Road,2408.5,4.0,3,191.0,4.0
1829,Super built-up  Area,Subramanyapura,975.0,2.0,1,58.0,2.0
1830,Plot  Area,Hosa Road,900.0,3.0,2,72.5,3.0
1831,Super built-up  Area,Other,1900.0,2.0,1,170.0,4.0
1832,Plot  Area,Banashankari,900.0,3.0,1,100.0,3.0
1833,Super built-up  Area,OMBR Layout,1101.0,2.0,2,65.5,2.0
1834,Super built-up  Area,Sarjapur  Road,1700.0,3.0,3,135.0,3.0
1835,Super built-up  Area,Whitefield,2408.5,4.0,2,220.0,4.0
1836,Super built-up  Area,Padmanabhanagar,1258.0,2.0,2,115.0,2.0
1837,Carpet  Area,Kanakpura Road,1560.0,3.0,1,92.0,3.0
1839,Built-up  Area,JP Nagar,2000.0,3.0,2,220.0,3.0
1841,Super built-up  Area,Other,1494.0,2.0,2,94.55,3.0
1842,Super built-up  Area,Hennur Road,1482.0,2.0,1,87.0,3.0
1843,Super built-up  Area,Other,900.0,2.0,3,50.0,2.0
1844,Super built-up  Area,Raja Rajeshwari Nagar,1185.0,2.0,2,47.39,2.0
1845,Super built-up  Area,Hulimavu,1100.0,2.0,2,71.5,2.0
1846,Built-up  Area,Other,1300.0,2.0,0,120.0,2.0
1847,Super built-up  Area,Other,1225.0,2.0,2,150.0,2.0
1849,Super built-up  Area,Banaswadi,1145.0,2.0,2,55.0,2.0
1850,Built-up  Area,Hormavu,1180.0,2.0,2,50.0,2.0
1853,Built-up  Area,Arekere,1190.0,2.0,2,55.0,2.0
1854,Super built-up  Area,Sarjapur  Road,1691.0,3.0,2,119.0,3.0
1855,Super built-up  Area,Other,2408.5,4.0,3,220.0,4.0
1857,Super built-up  Area,Basavangudi,2337.0,4.0,3,220.0,3.0
1858,Plot  Area,Other,1200.0,2.0,2,150.0,2.0
1859,Super built-up  Area,Domlur,1206.0,2.0,1,217.0,2.0
1861,Super built-up  Area,Kogilu,1140.0,2.0,1,50.66,2.0
1863,Plot  Area,Other,900.0,2.0,1,60.0,3.0
1865,Built-up  Area,Kereguddadahalli,900.0,2.0,2,38.0,2.0
1869,Super built-up  Area,Anekal,925.0,2.0,1,40.0,2.0
1870,Built-up  Area,Yelachenahalli,1800.0,3.0,1,220.0,4.0
1873,Plot  Area,Kasavanhalli,2408.5,2.0,1,220.0,5.0
1874,Super built-up  Area,Other,1614.0,3.0,1,110.0,3.0
1875,Plot  Area,Yeshwanthpur,900.0,2.0,1,130.0,3.0
1876,Plot  Area,Gottigere,1200.0,2.0,0,95.0,2.0
1877,Plot  Area,TC Palaya,900.0,2.0,0,55.0,2.0
1878,Built-up  Area,Other,1632.0,3.0,0,145.0,4.0
1879,Super built-up  Area,OMBR Layout,1041.0,2.0,2,65.5,2.0
1880,Built-up  Area,7th Phase JP Nagar,2408.5,2.0,1,220.0,6.0
1881,Super built-up  Area,Bannerghatta,2408.5,2.0,2,220.0,4.0
1883,Super built-up  Area,Sector 2 HSR Layout,1450.0,2.0,2,135.0,3.0
1884,Super built-up  Area,Bannerghatta Road,1200.0,2.0,2,75.0,2.0
1885,Plot  Area,Sahakara Nagar,1200.0,4.0,1,130.0,4.0
1886,Super built-up  Area,Hosur Road,1508.0,2.0,1,110.0,3.0
1888,Super built-up  Area,Other,1188.0,2.0,3,73.0,2.0
1889,Super built-up  Area,Old Airport Road,2408.5,4.0,3,199.0,4.0
1890,Super built-up  Area,Harlur,1174.0,2.0,1,76.0,2.0
1892,Super built-up  Area,Frazer Town,1870.0,3.0,3,185.0,3.0
1893,Super built-up  Area,Kengeri Satellite Town,1072.0,2.0,1,38.0,2.0
1896,Super built-up  Area,Hosur Road,1345.0,2.0,2,106.0,2.0
1897,Super built-up  Area,Begur Road,1200.0,2.0,2,45.0,2.0
1899,Super built-up  Area,Hormavu,1050.0,2.0,1,77.0,2.0
1900,Super built-up  Area,Uttarahalli,993.0,2.0,1,39.71,2.0
1903,Plot  Area,Whitefield,1204.0,4.0,1,125.0,4.0
1904,Plot  Area,Hormavu,1200.0,2.0,0,67.0,2.0
1905,Super built-up  Area,Other,1480.0,3.0,2,90.0,3.0
1906,Super built-up  Area,Sarjapur,950.0,2.0,2,38.0,2.0
1907,Built-up  Area,Domlur,900.0,1.0,0,55.0,1.0
1908,Super built-up  Area,Electronic City Phase II,972.0,2.0,1,44.0,2.0
1910,Super built-up  Area,Electronic City,1128.0,2.0,1,64.0,2.0
1911,Plot  Area,Other,900.0,2.0,0,42.0,2.0
1916,Super built-up  Area,BTM Layout,1150.0,2.0,2,63.0,2.0
1917,Built-up  Area,Hennur Road,2408.5,4.0,3,220.0,4.0
1919,Super built-up  Area,Jigani,920.0,2.0,2,46.0,2.0
1920,Super built-up  Area,Bommasandra Industrial Area,1030.0,2.0,1,41.0,2.0
1921,Super built-up  Area,Thanisandra,1564.0,3.0,1,101.0,3.0
1922,Super built-up  Area,Uttarahalli,1045.0,2.0,1,45.0,2.0
1923,Plot  Area,Hegde Nagar,1200.0,4.0,1,83.0,4.0
1924,Built-up  Area,Subramanyapura,1277.0,2.0,2,55.0,2.0
1925,Super built-up  Area,Other,2408.5,3.0,1,215.0,3.0
1926,Super built-up  Area,Sarjapur  Road,1846.0,3.0,2,140.0,3.0
1927,Built-up  Area,Other,1100.0,2.0,0,106.0,2.0
1929,Plot  Area,Hormavu,1200.0,3.0,0,70.0,2.0
1931,Super built-up  Area,Rajaji Nagar,1640.0,3.0,3,220.0,3.0
1934,Super built-up  Area,Other,1925.0,3.0,2,120.0,3.0
1936,Super built-up  Area,Other,900.0,1.0,1,38.0,1.0
1937,Plot  Area,Other,1200.0,2.0,3,120.0,3.0
1938,Super built-up  Area,Kaggadasapura,1150.0,2.0,3,42.0,2.0
1941,Built-up  Area,6th Phase JP Nagar,900.0,2.0,0,100.0,3.0
1942,Super built-up  Area,Other,2000.0,3.0,3,207.0,3.0
1943,Super built-up  Area,Tumkur Road,1354.0,3.0,1,90.0,3.0
1944,Plot  Area,Other,1050.0,2.0,0,110.0,2.0
1945,Built-up  Area,Arekere,900.0,1.0,1,38.0,1.0
1946,Plot  Area,Varthur,1320.0,2.0,1,110.0,4.0
1948,Built-up  Area,Kanakpura Road,2408.5,2.0,2,220.0,4.0
1951,Super built-up  Area,Vittasandra,1238.0,2.0,1,67.0,2.0
1952,Super built-up  Area,Other,2204.0,2.0,3,220.0,3.0
1953,Plot  Area,KR Puram,1200.0,2.0,1,110.0,3.0
1956,Super built-up  Area,Gubbalala,1745.0,3.0,2,104.0,3.0
1957,Super built-up  Area,Kogilu,1200.0,2.0,1,53.33,2.0
1958,Super built-up  Area,Kanakapura,1020.0,2.0,1,42.83,2.0
1959,Super built-up  Area,Banashankari Stage III,1650.0,3.0,2,118.0,3.0
1961,Super built-up  Area,5th Phase JP Nagar,1440.0,2.0,2,60.0,2.0
1962,Super built-up  Area,Sarjapura - Attibele Road,1329.0,2.0,2,45.95,3.0
1964,Super built-up  Area,Hulimavu,900.0,1.0,2,50.0,1.0
1966,Super built-up  Area,Kanakpura Road,1331.0,2.0,1,107.0,2.0
1967,Super built-up  Area,Malleshwaram,900.0,1.0,1,62.5,1.0
1968,Super built-up  Area,Hoodi,1050.0,2.0,2,50.0,2.0
1969,Super built-up  Area,Talaghattapura,2106.0,3.0,2,126.0,3.0
1973,Built-up  Area,Hebbal,1075.0,2.0,3,52.0,2.0
1974,Plot  Area,Sarjapur  Road,1200.0,3.0,1,95.0,3.0
1977,Super built-up  Area,Sahakara Nagar,1100.0,2.0,2,75.0,3.0
1979,Plot  Area,Other,990.0,2.0,0,120.0,3.0
1980,Plot  Area,Other,900.0,2.0,1,80.0,3.0
1982,Built-up  Area,Other,1685.0,2.0,1,110.0,3.0
1983,Super built-up  Area,CV Raman Nagar,900.0,2.0,1,38.0,2.0
1985,Plot  Area,Magadi Road,1500.0,2.0,2,93.0,4.0
1986,Super built-up  Area,Banashankari,1800.0,3.0,2,115.0,3.0
1987,Super built-up  Area,Yelachenahalli,1700.0,3.0,2,130.0,3.0
1988,Built-up  Area,Uttarahalli,900.0,2.0,2,38.0,2.0
1989,Super built-up  Area,Hennur Road,1891.0,3.0,1,139.0,3.0
1990,Built-up  Area,Jalahalli,1400.0,1.0,1,80.0,2.0
1991,Super built-up  Area,Lakshminarayana Pura,1172.0,2.0,2,82.0,2.0
1993,Built-up  Area,Sonnenahalli,900.0,2.0,1,43.75,2.0
1994,Super built-up  Area,Vijayanagar,1180.0,2.0,2,65.0,2.0
1995,Plot  Area,Basaveshwara Nagar,2408.5,2.0,1,220.0,7.0
1997,Super built-up  Area,Anekal,900.0,1.0,1,38.0,1.0
1998,Super built-up  Area,Other,1550.0,3.0,3,110.0,3.0
1999,Super built-up  Area,Kanakapura,1699.0,3.0,3,97.0,3.0
2001,Super built-up  Area,Ananth Nagar,900.0,2.0,2,38.0,1.0
2002,Built-up  Area,Other,900.0,1.0,0,38.0,1.0
2004,Super built-up  Area,Malleshwaram,2408.5,4.0,3,220.0,3.0
2005,Super built-up  Area,Haralur Road,1455.0,2.0,1,145.0,2.0
2006,Plot  Area,Seegehalli,900.0,1.0,0,50.0,2.0
2007,Super built-up  Area,Abbigere,900.0,2.0,2,38.0,1.0
2008,Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1,94.99,3.0
2010,Super built-up  Area,Other,2408.5,4.0,2,220.0,3.0
2011,Super built-up  Area,Hebbal Kempapura,2408.5,4.0,1,220.0,3.0
2012,Super built-up  Area,Other,1765.0,3.0,3,105.0,3.0
2014,Built-up  Area,Amruthahalli,1900.0,3.0,1,135.0,3.0
2016,Super built-up  Area,Bommasandra,1034.0,2.0,3,40.0,2.0
2019,Built-up  Area,Mahadevpura,2408.5,4.0,1,220.0,4.0
2020,Super built-up  Area,Other,1270.0,2.0,2,70.0,3.0
2021,Plot  Area,Yeshwanthpur,900.0,1.0,0,70.0,2.0
2022,Super built-up  Area,Other,2045.0,4.0,3,154.0,3.0
2023,Super built-up  Area,Bellandur,1490.0,2.0,2,98.0,3.0
2024,Built-up  Area,Banaswadi,2408.5,2.0,1,220.0,7.0
2025,Super built-up  Area,Mysore Road,900.0,2.0,1,40.0,2.0
2026,Super built-up  Area,Yeshwanthpur,900.0,1.0,1,38.0,1.0
2027,Super built-up  Area,Kammasandra,1156.0,2.0,2,38.0,2.0
2028,Super built-up  Area,Haralur Road,2017.0,3.0,2,125.0,3.0
2029,Super built-up  Area,Thigalarapalya,2408.5,2.0,2,220.0,4.0
2032,Super built-up  Area,Kanakpura Road,1296.0,2.0,1,89.0,2.0
2033,Plot  Area,Other,2400.0,4.0,2,220.0,6.0
2034,Super built-up  Area,Budigere,1139.0,2.0,2,62.0,2.0
2035,Super built-up  Area,CV Raman Nagar,1230.0,3.0,2,47.0,2.0
2036,Super built-up  Area,Other,900.0,2.0,1,38.0,1.0
2037,Super built-up  Area,Binny Pete,1245.0,2.0,1,86.28,2.0
2038,Plot  Area,Other,1158.0,2.0,2,85.0,3.0
2041,Super built-up  Area,Ramamurthy Nagar,900.0,1.0,1,38.0,1.0
2043,Built-up  Area,Green Glen Layout,1670.0,3.0,2,120.0,3.0
2045,Super built-up  Area,Horamavu Banaswadi,1307.0,2.0,2,51.6,2.0
2047,Super built-up  Area,Hennur Road,1703.0,3.0,1,101.0,3.0
2050,Super built-up  Area,Haralur Road,1140.0,2.0,2,43.0,2.0
2055,Built-up  Area,Other,1415.0,2.0,3,110.0,2.0
2057,Super built-up  Area,Yeshwanthpur,1852.0,3.0,2,160.0,3.0
2058,Super built-up  Area,Hoskote,1250.0,3.0,2,50.0,3.0
2059,Super built-up  Area,9th Phase JP Nagar,1100.0,2.0,1,65.0,2.0
2061,Super built-up  Area,Jakkur,1100.0,2.0,1,53.35,2.0
2062,Plot  Area,Magadi Road,1350.0,1.0,0,100.0,2.0
2063,Super built-up  Area,Panathur,1546.0,3.0,2,99.0,3.0
2064,Super built-up  Area,Ambedkar Nagar,1424.0,2.0,2,90.0,2.0
2066,Super built-up  Area,Indira Nagar,1650.0,3.0,2,200.0,3.0
2067,Plot  Area,HBR Layout,1200.0,4.0,0,120.0,4.0
2068,Super built-up  Area,Brookefield,1476.0,3.0,2,105.0,3.0
2069,Built-up  Area,Other,900.0,2.0,1,70.0,2.0
2071,Plot  Area,Other,900.0,2.0,1,40.0,2.0
2073,Super built-up  Area,Other,2408.5,5.0,1,220.0,4.0
2074,Built-up  Area,Sarjapur,1285.0,2.0,2,68.0,3.0
2075,Built-up  Area,Ambalipura,1150.0,2.0,2,80.0,2.0
2078,Plot  Area,Other,1350.0,3.0,3,195.0,3.0
2079,Built-up  Area,Thubarahalli,1185.0,2.0,2,65.0,2.0
2081,Plot  Area,Other,2400.0,5.0,2,220.0,4.0
2083,Super built-up  Area,Kanakpura Road,1297.0,2.0,1,105.0,2.0
2084,Super built-up  Area,Other,1840.0,3.0,2,155.0,3.0
2085,Built-up  Area,Ramamurthy Nagar,950.0,2.0,1,50.79,2.0
2087,Carpet  Area,BTM 2nd Stage,950.0,2.0,1,52.0,2.0
2088,Super built-up  Area,Yeshwanthpur,1277.5,2.0,0,95.815,2.0
2089,Super built-up  Area,Electronic City,1571.0,3.0,2,89.0,3.0
2090,Super built-up  Area,Electronic City Phase II,1031.0,2.0,1,55.0,2.0
2091,Super built-up  Area,Whitefield,1485.0,2.0,1,90.0,2.0
2092,Super built-up  Area,Ananth Nagar,1109.0,2.0,1,60.0,2.0
2094,Super built-up  Area,Whitefield,950.0,1.0,1,50.0,1.0
2095,Plot  Area,Other,1200.0,2.0,0,150.0,3.0
2096,Super built-up  Area,Hosa Road,1161.0,2.0,1,55.15,2.0
2097,Super built-up  Area,Basavangudi,2350.0,3.0,3,220.0,3.0
2098,Super built-up  Area,Electronic City Phase II,1003.0,2.0,1,40.6,2.0
2099,Plot  Area,Other,1350.0,2.0,1,185.0,2.0
2100,Super built-up  Area,9th Phase JP Nagar,1080.0,2.0,2,38.0,2.0
2101,Super built-up  Area,Hulimavu,1255.0,2.0,2,73.0,2.0
2102,Super built-up  Area,Banaswadi,1250.0,2.0,0,60.0,2.0
2103,Plot  Area,Brookefield,1700.0,4.0,1,152.0,4.0
2104,Plot  Area,Ramamurthy Nagar,1200.0,2.0,0,66.0,3.0
2105,Built-up  Area,Other,900.0,2.0,0,60.0,2.0
2106,Super built-up  Area,1st Phase JP Nagar,1875.0,3.0,1,167.0,3.0
2111,Super built-up  Area,Electronic City,1111.0,3.0,1,50.0,3.0
2112,Super built-up  Area,Kothannur,1197.0,2.0,1,47.88,2.0
2113,Super built-up  Area,Marathahalli,2408.5,5.0,2,185.0,4.0
2114,Super built-up  Area,Other,1340.0,2.0,1,100.0,3.0
2115,Plot  Area,Old Madras Road,1450.0,3.0,3,132.0,4.0
2116,Super built-up  Area,Hoodi,1837.0,3.0,3,145.0,3.0
2117,Plot  Area,Haralur Road,1200.0,4.0,1,220.0,4.0
2118,Super built-up  Area,Kudlu Gate,1238.0,2.0,3,55.0,2.0
2121,Built-up  Area,Other,1620.0,2.0,1,110.0,3.0
2122,Super built-up  Area,Kanakpura Road,1673.0,3.0,2,115.0,3.0
2123,Plot  Area,Margondanahalli,1090.0,2.0,0,58.0,2.0
2124,Super built-up  Area,Varthur,1112.0,2.0,2,40.0,2.0
2126,Super built-up  Area,Electronic City Phase II,900.0,1.0,1,38.0,2.0
2127,Super built-up  Area,Subramanyapura,985.0,2.0,1,58.0,2.0
2128,Super built-up  Area,Kanakpura Road,900.0,1.0,0,38.0,1.0
2130,Super built-up  Area,Hosa Road,1430.0,2.0,1,97.52,2.0
2131,Super built-up  Area,Kengeri Satellite Town,1050.0,2.0,2,43.0,2.0
2132,Plot  Area,Kumaraswami Layout,2000.0,4.0,1,139.0,4.0
2134,Built-up  Area,Other,1533.0,3.0,2,115.0,3.0
2135,Plot  Area,Other,2408.5,3.0,2,220.0,4.0
2136,Super built-up  Area,Malleshwaram,2408.5,3.0,1,220.0,3.0
2137,Super built-up  Area,Lakshminarayana Pura,1750.0,3.0,2,150.0,3.0
2139,Super built-up  Area,Other,1352.0,2.0,2,87.5,2.0
2140,Super built-up  Area,Harlur,1754.0,3.0,2,125.0,3.0
2141,Built-up  Area,Other,1560.0,3.0,2,85.0,3.0
2142,Super built-up  Area,Bannerghatta,2408.5,2.0,2,220.0,4.0
2144,Super built-up  Area,Channasandra,1470.0,2.0,1,90.0,3.0
2145,Built-up  Area,9th Phase JP Nagar,1035.0,2.0,1,45.0,2.0
2146,Plot  Area,Whitefield,2400.0,5.0,1,220.0,4.0
2147,Built-up  Area,Kammanahalli,1160.0,2.0,1,52.0,2.0
2148,Super built-up  Area,Jakkur,1100.0,2.0,2,52.0,2.0
2149,Super built-up  Area,Horamavu Agara,1170.0,2.0,1,38.0,2.0
2150,Super built-up  Area,Bannerghatta Road,900.0,1.0,1,38.0,1.0
2151,Super built-up  Area,HSR Layout,1650.0,3.0,2,110.0,3.0
2152,Super built-up  Area,Other,1875.0,2.0,3,220.0,3.0
2155,Super built-up  Area,Ramagondanahalli,1235.0,2.0,1,46.8,2.0
2156,Super built-up  Area,Other,900.0,1.0,2,38.0,1.0
2157,Built-up  Area,7th Phase JP Nagar,1400.0,3.0,1,115.0,3.0
2159,Super built-up  Area,Bannerghatta Road,1105.0,2.0,1,51.0,2.0
2160,Super built-up  Area,Other,1375.0,2.0,3,85.0,3.0
2162,Built-up  Area,Gottigere,1200.0,2.0,3,90.0,3.0
2164,Plot  Area,Other,2408.5,3.0,0,220.0,3.0
2165,Plot  Area,Raja Rajeshwari Nagar,2408.5,2.0,1,220.0,3.0
2166,Super built-up  Area,Whitefield,900.0,1.0,1,45.0,1.0
2168,Plot  Area,Other,900.0,3.0,3,65.0,3.0
2171,Super built-up  Area,Panathur,1195.0,2.0,1,84.0,2.0
2176,Built-up  Area,KR Puram,900.0,2.0,1,38.0,2.0
2177,Plot  Area,Other,1200.0,2.0,2,190.0,3.0
2178,Super built-up  Area,Iblur Village,1920.0,3.0,2,130.0,3.0
2183,Super built-up  Area,Kaggadasapura,1110.0,2.0,3,53.0,2.0
2184,Plot  Area,Other,1500.0,2.0,3,165.0,3.0
2185,Super built-up  Area,Kaggadasapura,1105.0,2.0,1,38.67,2.0
2186,Plot  Area,Anekal,1800.0,3.0,2,68.0,3.0
2188,Super built-up  Area,Bommanahalli,1000.0,2.0,2,38.0,2.0
2190,Plot  Area,2nd Stage Nagarbhavi,1350.0,4.0,1,200.0,4.0
2191,Super built-up  Area,Hebbal,2408.5,4.0,2,220.0,4.0
2192,Super built-up  Area,Sarjapur  Road,1929.0,4.0,1,103.0,3.0
2193,Built-up  Area,Ramamurthy Nagar,1525.0,3.0,1,100.0,3.0
2194,Super built-up  Area,Other,1775.0,3.0,3,110.0,3.0
2195,Built-up  Area,Banashankari,1125.0,2.0,1,63.0,2.0
2198,Built-up  Area,Hulimavu,1200.0,4.0,0,75.0,4.0
2199,Super built-up  Area,Sonnenahalli,1268.0,2.0,1,73.0,2.0
2200,Built-up  Area,Other,1500.0,3.0,2,88.0,3.0
2201,Super built-up  Area,Electronic City,900.0,1.0,1,47.0,1.0
2203,Super built-up  Area,Kaggadasapura,1060.0,2.0,2,48.0,2.0
2204,Super built-up  Area,Lingadheeranahalli,1687.0,3.0,3,127.0,3.0
2205,Super built-up  Area,Thanisandra,1847.0,3.0,2,123.0,3.0
2207,Super built-up  Area,7th Phase JP Nagar,1075.0,2.0,1,42.99,2.0
2208,Super built-up  Area,Rajaji Nagar,2408.5,4.0,1,220.0,4.0
2209,Built-up  Area,BTM Layout,2408.5,3.0,0,220.0,3.0
2210,Built-up  Area,Basavangudi,1500.0,2.0,1,143.0,3.0
