,id,comment_text,identity_hate
53895,8ffb438a3fad650d,youre a homosexual good sir  dont ever edit something that has no bearing on you and you have edited pages entirely which are completely factual,1
54147,90b1f6ee0ecf43ae,no thanks faggot im fine right here but you might try going to hell you dont like to suck other peoples penises yeah i had to be specific for you since youre so motherfucking retarded i guess youre not a homosexual after all wownever wouldve thought,1
54395,91597efb447ad778,actually fuck it youre all gay nerds who butt fuck each other im gonna go get laid btw homos go to hell,1
54405,91604f361ffad491,cunt youre a fucking cunt and youre obviously jewish like all the rest,1
54480,9199dc0b302787a2,if this guy isnt gay he is one seriously good actor ive seen hayes on will  grace and the way he acts sofeminine he must be homosexualno straight man can act so convincingly gaybut then again sean acted pretty straight and normal in the movie where he played jerry lewismy opinion is still in favour of him being gay though,1
54486,919fbb7c6daa23a0,i knew you were a dick but a fag toonice job on the morgan discussioni liked how you buried the comments in the archive section,1
54525,91c19244efc9d251,damn the killer armenians i damn all the killer armenians they re even not human who killed and burned all those women and children i damn you,1
54670,921c74b293556346,jews jews are fucking bastards i hope neo nazis unite and holocaust the bastards again including jews like  nawlinwiki  and jdelanoy,1
54680,9223140a105ed75b,fag your a danish faggot,1
54874,92a786870058797d,oh wow thanks for defending that guy who deleted everything i wrote  how would you feel if you spent hours researching only to have some jerkoff guy delete it  you dont care  you must hate me because im jewish  you must be a nazi,1
55061,9323a16335e50fbc,yea take that jewboy nobody gives a fuck what you think  ,1
55160,93569e0a8ce776b8,anyone who supports this is fucking sick men and underaged fucking kids what in the fuck you all should be shot and killed you bunch of fucking faggot pedophilesdie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die diedie die die die di edie die die die dienew,1
55264,939e00c29c09662d,cardinaldan fuck you faggot nigger cunt licking chink dipfucking shit nigger face get a life other then deleting shit off wiki you nerd faggot,1
55371,93eb54f549e7185a,faggot enough said,1
55467,943d194c825c5aa9,youre still a bunch of niggers     shoopsywoopsyand ps i will edit my own talk page as i see fit you cuntheads,1
55502,9457090c680846c5, use that banhamma nao gayboy,1
55630,949fcc1bf84de15d,so does your mouth you gayass,1
56037,95bb25deac9b7ed6,you are a fagget i bet you molest little boys you faggot i hope you die in a terrible car crash today tou fucking faggot yes right now i am hoping you did in a fucking car crash  today watch out muther fagget,1
56394,96a675cc00a9e22c,wtf are you stupid white idiots talking about now i no that ur white becoz in my experience only white guys have little tiny dicks and trust me that dick there in the main page is tiny in size we must state that black men have the biggest by far compard to any race by atleast double the length width hardness and thrusting and white men children if u ask me have the microscopicly tiny seriously i have neva had to ask is it in yet with a black guy just screeming nonstop omg but every single white guy ive ever had sex with if you can call it that jeeeez ive been like r u done yet im bored btw im a white girl and have oficialy sworn of white guys becoz once u go black u cant go back  i agree its not a porn site obviously so hey if you want some  inch micropenis put in the main picture to make u white children feel better about yurselves then be my guest i get the real thang anyway every night and ull never get my hot body again white boiz ,1
56460,96d9b564444878cd,fuck you you gay ass liberalhey asshole why dont you get your face out of the fucking child molestes homepage and go fuck your self you gay ass liberal mother fucker i hate jews like you fuck you and your whole fucking family you fucking sand nigger lover,1
56556,970f0e85d113b8f6,your gay douche like gay porno ahaghagagagaa,1
56920,981e9f0820c6a97e,hey you fucking jew why the fuck did you get rid of emo kid beatdown day you aussie fag gay jew basturd go celebrate hannucka,1
57173,98e4e1f70d28631c,fuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoffjewish ancestryfuckoff,1
57215,98fa937f5f8acde2,dont fuck with wikipedia admins you filthy jew  tlk cntrbtns,1
57260,99196b8cace7a049,i will take good revenge on your bullshits  stupid uneducated tletbrain i will blow the hell out of you chinese stupid bullshit psychos,1
57276,992573b52e286930,to situshpakistani  pig what  is your problem you bloody muslim pakistani why the hell are you jealous of hindus and sikhs you born out of shit of a pig just stay away from this articlewe dont prefer pakistani muslim pigs touching this pious article,1
57518,99d812e2964551b4,whats up my nigger promoting yourself on wikipedia is a bad idea you should probably go somewhere else maybe you could post some handdrawn posters in your ghetto,1
57535,99e358ed517a8e2f,is a huge fat nigger hippo,1
57551,99f49835ab16fb6e,do you know the location of the laceration in a jewish circ,1
57716,9a71d0dc8e86b20f,fuck you french faggot go play soccer and leave the internet to america which invented this shit,1
57758,9a9114fba009e4ff,japanese bastard fuck off you evil race,1
57770,9a98fe4cb1c40cf8,yes yes yes  conducted patrol in  without missiles the chinese are so stupid that they can not even make a missile work go ahead usa start a nuclear war now with china you most hated and bitter enemy they utterly destroyed your economy and is your biggest debt holder go ahead usa nuke china they do not even have a missile that work ,1
57798,9aaf9e77c9f6cce8,you are a fag why did you deleate dogatro it said under contruction dick,1
57837,9ad2c14bdb16f3ed,it doesnt matter what i think  im a big retarded antisemite  ima go throw myself in front of an sixteenwheeler with the grill covered in razor wire and videotape it for you  people will find the lone tripod on the side of the road see the video think its lulzy then put it on youtube for posterityand thats my last post  williamh sorry for wasting your time  everyone else search antisemite vs truck on the yt in a few days  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait that one was  no wait    okay that one was,1
57849,9ad7cab42086b48c,my mate told me you were a fuckin homosexual you are dead,1
57938,9b278ec9d5e23135,againyou are all  yah i am going to have  with you negros you can go on your mama  and  users like mcdonald and areaseven snjones you can go to jail without hunger yah yah yah ,1
58082,9b87e2a3d7038c8b,go fuck yourself faggot ban away,1
58106,9b9c4ada2c91612b,youre such one god damn nigger for a titty penis head i am going to head butt you,1
58564,9cd824d033bfdad8,your fucking face faggots,1
58585,9cea83e3d52794c7,licking my ass hahaha quit banning me you faggot,1
58592,9cef4a7e31d69a8c,admin wannabes dont do s like you did at shankbones neurotic conspiracy page  but if it adminship happens it happens right  what a crock of shit  you will never be an admin you dont have what it takes save loneliness and a friendless existenceoh and in case you missed the edit summary over at shankbones conspiracy page ill post it here just think if your father had loved you you wouldnt have turned out queer and you couldve lived a normal lifehappy editing you queer queer,1
58779,9d64a17cee3ad6f5,hey punk dont be deleting my stuff you know nothing bout the harly drags so stay out of my shit you stupid nerd punk fag female thats all u bitch,1
58872,9dabc9d044b2541d,you are a queer fag,1
59279,9ecf3329158e0276,jew get the fuck out of here you jewish son of a bitch ill rape your fucking family if you dont leave you semite bastard i will shoot you if you return because youre a dirty semite i hope you choke on a fucking bagel prick shalom we came in,1
59376,9f0c25846e73da2b,what do you musclehomos have against free speech and the truth i could care less if you want to marry your boyfriend but what do you have against the truth and free speech,1
59521,9f6f16ac2b7e314e,so you are another vile little englishman like fisk you europeans are evil pieces of shit and you faggots should be exterminated for what you have done to us,1
59547,9f7a77dc10cf79a2, well in that case i hope your house got destroyed in hurricane katrina you nigger,1
59711,9fdd56f669c92091, fuck you re mark williams radio host and ground zero mosque  you vandalizing asswhipe landing gear from one of the aircraft and bits and pieces of several people were found inside this building which itself is less than  feet from another that was destroyed so fuck you and everybody who looks like you moslem mental retards here that is fucking ground zero so blow me and suck each other dry fuck you,1
59790,a0180e211c39fa80,im not the racist europeans and arabs are the racists,1
59846,a03d44548758ca06,ur the biggest gay hello from face punched,1
59881,a056d6e5e9475bc2,jd is a raging homosexual faggot who should be eaten alive by a pack of rabid baboons,1
59974,a08968c24b7143d7,yeahyou khar have removed but sourced it with a link that claim him as pashtun safi just one question if pashtuns were not so shameless and so pathetic poorwhy should they borrow persian names for their dirty people and tribes if you again change the sources and facts i will ask my friend asip to ban you last warning keep your dirty salafit sources in your a for your sister or brother and kundadhariboy,1
60071,a0c815b174c600a9,im gonna guess you are the same bigoted non normal that wrote this hate page in the first place you and your gay friends are all pedophiles,1
60392,a1ab6d96255ea830,are you a jew are you a jew dont pollute obamas article with your snot,1
60535,a20c40c84c1bb19d,are you as gay as danski if you are i will continue to attack you and your beliefs,1
60543,a2134330e3708690,he worshipped satan and sacrificed babies in his name muslims are terrorists and should be shot allah doesnt exist,1
60785,a2b50de88da494ef,hey man i was just playing no worries i wont do it againi mean you could take a joke or you could just be a stupid asshole but hey whatever i would like point out that nothing that i said was either antisemetic or evil i have multiple friends that are jews and im sure that most of them would have thought that it was funnyin any event carry on you crazy russian prick,1
60958,a3380d5f77a713f0,fuck you jdelanoy you are german cock sucker  fucker mother fucker good to know how you fucked face looks,1
61087,a38e01fe6e506cc6,you also want eternal hellchaitanyamangala shune yadi pashandi yavana seha mahavaishnava haya tatakshana if even a great atheist hears shri chaitanyamangala previous name for shri chaitanyabhagavata he immediately becomes a great devoteedo not dare to do anything against krishna consiousness or your complete atheism portal would go to eternal hell this is warning,1
61157,a3b8cd6a227b0482,can you think of a compelling reason as to why murdering black people is wrong ,1
61163,a3bc729bdadbef6f,useless weirdo creatures like gvnayr should be irradiated not only from wikipedia but also from the real lifeworld such an useless creature human waste while other people are working and doing things which takes effort this piece of crap is doing absolutely nothing simply the biggest loser i have ever met around here on wikipedia if you guys want an encyclopedia full of lies and nonsense stupid highfunctioning autistic things then be my guest today is a sad day for wikipedia why because a normal editor got blocked while editors like crazy obsessive lame gvnayr are still around spreading their uberlameness,1
61252,a3f0a4615bac7390,nick gas is coming back its coming to the uk cyphoidbomb is gay its coming to the uk cyphoidbomb is gay,1
61362,a44278c870a76373,fuck you white trash,1
61377,a44c6ebffd0216a5,fuck you are you happy that jews like madoff bankrupted your country  actually it is not a real country just a  pitbull for israelfuck you you stupid american  go fight and die in a war for the jews  how many american jews are serving in iraq and afghanistan oh ya zero they let you stupid goys die for themfuck you you retard go eat a bowl of jewish lies you stupid fuck your life is poitnless,1
61444,a477617edf857f1d,why are you such an idiot  afl is for homos ,1
61489,a490a89efba3c2b2, first point  it was not only treated as mental illness but as criminal activity second point  you should only refer to homosexual romance in the lead if there is a section that deals with homosexual romance in the body of the text as the lead is a summary of what is in the body and having ten sources does not count for much unless the terms are unpacked somewhere in the main text  all these seem to show is that people like giddens who is a notable sociologist but no authority on sexuality sexology  lgbt studies in general or homosexuality in particular use the term  if there were a link to an article homosexual romance which shows the term can be taken for granted fine  otherwise it needs to be dealt with in the article before it can be inserted into the lead  third point my earlier comment about this was made with ironic and humorous intent because i have only come across the term romance used in this context at conferences ironically or critically  just because a term is used in sources does not mean that it can be used in the lead when it is not in the text for example homosexuals deserve to be executed or tortured   ,1
61839,a57aa5274ff57923,neutralhomer hates black people and so does gogo dodo,1
61885,a59a5cc770bc5beb,bible society im fed up with catholics as youusing wikipedia as proselytist mediai will write articles exposing cruel persecutiuon by catholics against bible societies,1
61912,a5aef8658cc7cb6b, hey polish slavic monkeys you slavic monkeys can wright here all the shit what you want but all world knews what realy you are  the trashy mutantes from lower dniepr your poland have no rights to exist  it is only band of slavic trampesvilnietis,1
61934,a5bcd8f646a90002,ordersdreamjerk has no right to order anyone to do anything he is one of the more hated members of wikipedia opponents just go on and do what you need to dodaggers in back of jack the ripper lubed by butter falling on rhobiteyou wanna play we can playbutterknife,1
62032,a5f6ee692333f0de,mongo is a homosexual crybaby,1
62724,a7d10cc08ab33a03,i can just imagine john curtins response at being celebrated by these neonazi cultist filth  ,1
62766,a7ee0a72f4b5151c,triston rockwell triston is gay and he has a small penis,1
62768,a7ef10a3a8d098f0,suck it bitch suck my bigass cock gag on it motherfucker  i didnt vandalize shit you bitchass punks in your administrators clique think youre the motherfucking bomb and shit but you aint got shit and you sure as all hell dont know shit  fuck if i took a dump and put it on my keyboard the fucking shit would come up with a better contribution than you motherfucking gestopoing up in this bitch,1
62923,a84ecc50a3d3212c,abd is muslim scum the religion of terrorism  preceding unsigned comment added by    ,1
62948,a8624eb37ecc1cb2,gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick john cline is gay he sucks dick,1
63081,a8c3e1307a5463aa,bitch sandnigger eritrea is not majority arabic go fuck a camel,1
63190,a91cec4f7a90ee63,why are you being so rude i only want to help you motherfuckers fuck retards youre such retards i hope you all die seriously die,1
63204,a92418a930684aa2,meeeeeeeeooowww shhhhhhhhhhhhhhhh uh there are two ways why you do erased my comment about  that holocaust was brutally slaying of jews and not gaysgypsysslavsanyone  if you are antisemitian than shave your head bald and go to the skinhead meetings  if you doubt words of the bible that homosexuality is a deadly sin make a pentagram tatoo on your forehead go to the satanistic masses with your gay pals  first and last warning you fucking gay  i wont appreciate if any more nazi shwain would write in my page i dont wish to talk to you anymorebeware of the dark side,1
63215,a92c5bd8f6bfd77e,fuck the poor britain is shittttttttttttttttttttttttttttt,1
63410,a9a72b087bb94047,lawlfuck youyou have no sense of humor to call that vandalism that was humourous content you bitchfaced faggot,1
63552,aa0dcf43df32273f,gwernolugly stillborn molesting dickwaddear gwernol u useless cunt molesting niggertardgo fuck dvd rws  inch albino cockgwernolugly stillborn molesting dickwaddear gwernol u useless cunt molesting niggertardgo fuck dvd rws  inch albino cockgwernolugly stillborn molesting dickwaddear gwernol u useless cunt molesting niggertardgo fuck dvd rws  inch albino cockgwernolugly stillborn molesting dickwaddear gwernol u useless cunt molesting niggertardgo fuck dvd rws  inch albino cockgwernolugly stillborn molesting dickwaddear gwernol u useless cunt molesting niggertardgo fuck dvd rws  inch albino cock,1
63589,aa279bd45e14b17e,to the faggot coffee expliciton,1
63611,aa32f471e48c91a7,throw the jew down the well so my country can be free,1
63653,aa4e9dccafd7bf6a,cant block me nigga,1
63687,aa699b024b46da4a,do you know what i say gas the mother fucking jews anhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleachanhero kill yourself drink bleac,1
63746,aa8f84a11fcd36bf,well dear ahasuerus it is actually difficult to edit any page in wikipedia without muslims jumping at you and trying to censor you with all sorts of excuses you must understand that the freedom of speech for muslims is an alien concept in islamic countries if you say something against islam they kill you where they cant kill you they censor you wikipedia seems to be dominated by muslims this of course is not true in all the pages where muslims have no interest but when the interest of islam comes in they can be quite bullish in making their word prevail but that is another story this article started with some explanation like thisin recent years especially after the  some observers including muslim dissidents have stated that islam presents a threat bigger than nazism not to just the western world but to all nonislamic countries they have labeled those who defend islam and try to be politically correct about it the todays useful idiots ali sina states they are idiots because they speak without knowledge of islam and its threat to mankind and they are useful to the islamists with whose help they can penetrate the nonmuslim countries and destroy them from within  the same author writes more abhorrent than war is making peace with evil in the words of the  century british parliamentarian edmund burke all that is necessary for evil to triumph is for good men to do nothing those who advocate peace with islam are idiots of this century if we do not stand against islam it will grow and then billions will die trying to appease muslims is foolish it is informed by ignorance of islam most cancers are treatable if detected in time but if ignored they will grow to a stage that will kill you today we have the choice we can either fight islam and extirpate it before it threatens our existence or wait and face the apocalypses muslims obviously dont like ali sina for some reason anything you post here from him they will delete at once so the above passage that explained the concept was deleted the administrator slimvirgin despite claiming impartiality has yet to show that in actions i could be wrong but for reasons that i explained to her i have still to be convinced of that claim i found out that she is iranian like ali sina but of course most iranians are still muslims she even once tried to discredit ali sina saying that he is islamophobic obviously she sees genuine criticism of islam unwarranted and interprets that as islamophobia my judgement about her is just based on my first impression and i could be wrong i have explained to her my concern about her impartiality already and i hope she will eventually show i had misjudged her in wikipedia there is a lot of islamic propaganda which are not true at all but generally critical views about islam do not survive why if wikipedia is impartial shouldnt we give equal space to both sides would we accept if eg scientologist or any other cultists try to take over the wikipedia and disallow any criticism of their cult what is happening is very disturbing there are hundreds of pages in wikipedia that are misleading because they are edited and controlled by muslims and as soon as you try to post anything showing the other side of the coin they revert it and even call your contribution hate speech what about the quran isnt that book a hate speech  funny thing is that they throw at you the basic rules of wikipedia when in reality it is they who constanly breach those rules if you try to write anything that muslims dont like they will delete it with invalid justifications this is a very disturbing trend for example the quotes of ali sina were removed because as they said he is not notable there are  pages talking about faith freedom international there have been death threats in islamic sites against him there are a few islamic sites created just to refute him doesnt all that say that he is notable at least to be quoted finally if he is notable enough to have a page in wikipedia why his quotes should not be published i am not familiar with the structure of wikipedia but i suppose there must be some committee that would check into complaints all i am hoping is that this committee is not already taken over by islamists  is there a forum where important questions such as the direction wikipedia is taking is discussed sorry this subject might have not belonged to this page but these are things i would like to discuss is there a place to do that  my point is that if wikipedia loses its impartiality and becomes the guardian angel of a certain cult or religion it loses its credibility fast   ,1
63790,aaaeb31c5d366711,hey dont be a faggot,1
63801,aab939408d30b235,how dare they sit under the white mans tree them fuckin niggers have to learn their place,1
